id;types;prepro_komposisi;cleaned_names;summary;;;
0;tablet;sildenafil citrate;sildenafil citrate;sildenafil citrate tablet terapi disfungsi ereksi pria dewasa;;;
1;tablet;sildenafil citrate;sildenafil citrate;sildenafil citrate tablet terapi disfungsi ereksi pria dewasa;;;
2;tablet;sildenafil citrate;viagra;viagra tablet sildenafil citrate terapi disfungsi ereksi pria dewasa;;;
3;tablet;sildenafil citrate;viagra;viagra tablet sildenafil citrate terapi disfungsi ereksi pria dewasa;;;
4;tablet;sildenafil citrate;viagra;viagra tablet sildenafil citrate terapi disfungsi ereksi pria dewasa;;;
5;tablet;sildenafil citrate;viagra;viagra tablet sildenafil citrate terapi disfungsi ereksi pria dewasa;;;
6;tablet;sildenafil citrate;ericfil;ericfil tablet sildenafil citrate ericfil diindikasikan mengobati disfungsi ereksi;;;
7;tablet;sildenafil citrate;ericfil;ericfil tablet sildenafil citrate ericfil diindikasikan mengobati disfungsi ereksi;;;
8;;;;;;;
9;;;;;;;
10;;;;;;;
11;odf;sildenafil citrate;ericfil;ericfil odf sildenafil citrate terapi disfungsi ereksi pria dewasa;;;
12;odf;sildenafil citrate;ericfil;ericfil odf sildenafil citrate terapi disfungsi ereksi pria dewasa;;;
13;tablet;sildenafil citrate;sildenafil citrate;sildenafil citrate tablet terapi disfungsi ereksi pria dewasa;;;
14;tablet;sildenafil citrate;sildenafil citrate;sildenafil citrate tablet terapi disfungsi ereksi pria dewasa;;;
15;tablet;sildenafil citrate;kondom durex extra safe isi;kondom durex extra safe isi tablet sildenafil citrate alat kontrasepsi;;;
16;tablet;sildenafil citrate;tissue magic power hitam lembar;tissue magic power hitam lembar tablet sildenafil citrate membersihkan , mencegah bakteri , meningkatkan kekuatan berhubungan , mencegah ejakulasi;;;
17;tablet;sildenafil citrate;kondom durex performa isi;kondom durex performa isi tablet sildenafil citrate alat kontrasepsi;;;
18;;;;;;;
19;tablet;sildenafil citrate;durex play feel;durex play feel tablet sildenafil citrate cairan khusus membantu melumasi melicinkan organ intim pria wanita mengurangi sakit iritasi akibat gesekan berlebih;;;
20;tablet;sildenafil citrate;kondom durex performa isi;kondom durex performa isi tablet sildenafil citrate alat kontrasepsi;;;
21;tablet;sildenafil citrate;kondom okamoto platinum isi;kondom okamoto platinum isi tablet sildenafil citrate alat kontrasepsi;;;
22;tablet;sildenafil citrate;kondom durex invisible extra thin isi;kondom durex invisible extra thin isi tablet sildenafil citrate alat kontrasepsi;;;
23;tablet;sildenafil citrate;kondom durex pleasuremax isi;kondom durex pleasuremax isi tablet sildenafil citrate alat kontrasepsi;;;
24;tablet;sildenafil citrate;kondom fiesta bubble gum isi;kondom fiesta bubble gum isi tablet sildenafil citrate sebagai alat kontrasepsi;;;
