name,price,Aturan Pakai,uses,Dosis,Efek Samping,Golongan Produk,Indikasi Umum,Kemasan,Komposisi,Kontra Indikasi,Manufaktur,No. Registrasi,Perhatian
Bebelac 3 Madu Susu Pertumbuhan Bubuk 800 gr,Rp88.700 - Rp189.000,Standar pengenceran 235 ml Bebelac 3 = 200 ml air hangat + 3 sendok takar 1 sendok takar = 13 g,"BEBELAC 3 merupakan susu bubuk untuk pertumbuhan anak usia 1-3 tahun. Susu ini memiliki pilihan rasa yang lezat serta dilengkapi nutrisi Minyak ikan, Omega 3, Omega 6, FOS:GOS 1:9, 13 Vitamin & 9 Mineral. Susu ini merupakan nutrisi tepat dari Bebelac dan stimulasi ibu, untuk dukung anak tumbuh hebat.",Takaran penyajian: 3 sendok takar(39g/235 ml),,Pangan Olahan Diet Khusus,Susu pertumbuhan untuk anak usia 1-3 tahun. Susu ini merupakan nutrisi tepat dari Bebelac untuk dukung anak tumbuh hebat.,Kaleng @ 800 Gram,"Bebelac 3 dilengkapi dengan:Bebelac 3 HiQ-EQ+: Minyak ikan, Omega 3, Omega 6. Bebelac dibuat dengan minyak ikan (0.26%) dan mengandung Asam a-linolenat (Omega 3) 107 mg/saji dan Asam linoleat (Omega 6) 1205 mg/saji. FOS:GOS 1:9 -13 Vitamin & 9 Mineral. Bebelac mengandung Zat Besi, Zinc, Iodium, Vitamin A, dan Kalsium untuk pertumbuhan yang optimal.",,Nutricia,,Tidak cocok untuk bayi dibawah usia 12 Bulan. Lanjutkan pemberian nutrisi untuk anak usia prasekolah dengan Bebelac 4
Optimum Nutrition Whey Gold Standard Vanilla 10 Lb,Rp2.200.000,Dikonsumsi 30-60 menit seletah latihan dan berolahraga atau kapanpun saat membutuhkan asupan protein,Optimum Nutrition On Whey Gold Standard Vanilla 10 LB merupakan suplemen otot yang mengandung Whey Protein Isolate dan dikombinasi dengan Whey Protein Concentrate untuk menghasilkan 24 g Protein per serving serta diperkaya dengan BCAA dan Glutamine untuk membantu pembentukan massa otot dan juga di saat pemulihan sesudah latihan.,"Campurkan 1 scoop ON Whey dengan 1 gelas air (180-240 ml), susu skim, atau minuman kesukaan lainnya",,Pangan Olahan Diet Khusus,"Membantu pembentukan otot, mempertahankan massa tubuh bebas lemak (Lean Body Mass), serta membantu pemulihan otot setelah latihan",Pack @ 4.54 Kg,"Protein Blend (Whey Protein Isolate, Whey Protein Concentrate, Whey Peptides), Natural And Artificial Flavors, Lecithin, Acesulfame Potassium, Lactase",,Vita Shopindo,,
Sildenafil Citrate 50 mg 4 Tablet,Rp96.500 - Rp168.500,"Dikonsumsi satu jam sebelum melakukan aktivitas seksual, dapat disesuaikan dengan kebutuhan.","SILDENAFIL CITRATE merupakan obat yang digunakan untuk mengobati gangguan fungsi seksual pada pria, yaitu disfungsi ereksi. Obat ini bekerja dengan cara meningkatkan aliran darah ke alat kelamin pria sehingga dapat mempertahankan ereksi saat berhubungan seksual. Dalam penggunaan obat ini harus SESUAI DENGAN PETUNJUK DOKTER.","PENGGUNAAN OBAT INI HARUS SESUAI DENGAN PETUNJUK DOKTER. Dewasa : 50 mg diberikan sesuai kebutuhan 1 jam sebelum aktivitas seksual, dapat disesuaikan dengan kebutuhan. Maksimal 100 mg/hari","Sakit kepala, rasa panas dan kemerahan pada kulit wajah, dispepsia, hidung tersumbat, gangguan penglihatan, diare, pusing, ruam kulit, ISK.",Obat Keras (Merah),INFORMASI OBAT INI HANYA UNTUK KALANGAN MEDIS. Terapi disfungsi ereksi pada pria dewasa,"Dus, 1 Strip @ 4 Tablet",Sildenafil citrate 50 mg,"Hipersensitivitas. Pasien yang menggunakan nitrat organik, baik secara reguler dan atau intermiten",Generic Manufacturer,BPOM: GKL1433531717A1* *) Obat ini merupakan obat Generik. Nomor Registrasi dapat berbeda sesuai dengan ketersediaan stock Apotek.,"HARUS DENGAN RESEP DOKTER. Pasien pria yang tidak dianjurkan melakukan aktivitas seksual karena adanya penyakit KV. Pasien infark miokard, stroke, aritmia yang mengancam nyawa dalam 6 bulan terakhir. Hipertensi (TD>170/110) atau hipotensi (TD<90/50) saat istirahat. Riwayat gangguan"
Flasicox 15 mg 10 Kaplet,Rp13.000 - Rp29.300,Dikonsumsi bersamaan dengan makanan,"FLASICOX 15 MG TABLET adalah obat anti inflmasi non steroid (OAINS) yang mengandung Meloxicam. Obat ini digunakan untuk meredakan gejala-gejala arthritis, misalnya peradangan, pembengkakan, serta kaku dan nyeri otot. Contoh penyakit radang persendian yang biasanya ditangani dengan meloxicam adalah osteoartritis, rheumatoid arthritis, dan ankylosing spondylitis. Dalam penggunaan obat ini HARUS SESUAI DENGAN PETUNJUK DOKTER. Pembelian obat ini memerlukan edukasi terkait penggunaan atau pengonsumsian obat yang tepat dan aman yang akan dikenakan biaya.","PENGGUNAAN OBAT INI HARUS SESUAI DENGAN PETUNJUK DOKTER. Dosis anjuran maksimal : 15 mg perhari. Eksaserbasi OA (Osteoartritis) : 1 kali sehari 7.5 mg, bila diperlukan dosis dapat ditingkatkan samapi dengan 1 kali sehari 15 mg. AR (Artritis Reumatoid) : 1 kali sehari 15 mg, dapat dikurangi sampai dengan 7.5 mg perhari, tergantung respon klinis. Pasien dengan resiko tinggi : Awal 1 kali sehari 7.5 mg. Pasien dengan Gagal Ginjal : 1 kali sehari, dosis tidak boleh lebih dari 7.5 mg.","mual, muntah, gangguan pencernaan, sakit kepala, sulit tidur",Obat Keras (Merah),Terapi simtomatik jangka pendek untuk eksaserbasi akut dari OA (Osteoartritis). Terapi simtomatik jangka panjang untuk AR (Artritis Reumatoid).,"Dus, 5 Strip @ 10 Kaplet",Meloxicam 15 mg,"Hipersensitif, riwayat asma dan urtikaria",Ifars,BPOM: DKL0609216204B1,"HARUS DENGAN RESEP DOKTER. Hipertensi,retensi cairan, gagal jantung, penyakit krdiovaskular Kategori Kehamilan : C, D di trimester 3 atau mendekati kelahiran"
Lip Ice Color Naughty Red,Rp16.900 - Rp35.000,"Untuk mendapatkan bibir lembab dan lembut, gunakan setiap hari. Ulangi pemakaian, kapanpun dibutuhkan.",Lip Ice Color Naughty Red melembabkan & melembutkan bibir,Sesuai kebutuhan,,Produk Konsumen,Membantu menjaga kelembaban dan melembutkan bibir,Case @ 2.2 gram,,,Rohto Laboratories Indonesia,BPOM: NA18181302105,Simpan ditempat sejuk dibawah suhu 30 C.
PediaComplete Vanila 400 g,Rp187.700 - Rp235.900,"Saran Penyajian : Untuk menyiapkan satu sajian 226 mL : tuangkan 190 mL air dengan suhu kamar atau dingin ke dalam gelas dan tambahkan secara bertahap 5 sendok takar atau setara dengan 49 g bubuk pediasure complete, aduk hingga rata. Disarankan untuk tidak melebihi batas saji takaran maksimum : 2 saji untuk anak 1-3 yahun , 3 saji untuk anak 4-10 tahun. per 1 Takaran saji ( 49 g ) bubuk dalam 190 mL air untuk menghasilkan 226 mL minuman ( 419 mmol/ kg )","PEDIASURE COMPLETE VANILLA merupakan nutrisi untuk mendukung pertumbuhan anak. Untuk anak usia 1-10 tahun. Pediasure Complete mengandung Sinbiotik yang merupakan kombinasi antara Probiotik dan Prebiotik untuk menjaga fungsi saluran pencernaan dan penyerapan nutrisi mengandung Omega 6 dan Omega 3 sebagai prekursor pembentukan AA dan DHA, dan Kandungan Medium Chain Triglycerides (MCT) di dalamnya merupakan campuran lemak agar mudah dicerna dan diserap sebagai sumber energi optimal untuk tumbuh kembang.","Disarankan untuk tidak melebihi batas saji takaran maksimum : 2 saji untuk anak 1-3 tahun , 3 saji untuk anak 4-10 tahun. per 1 Takaran saji ( 49 g ) bubuk dalam 190 mL air untuk menghasilkan 226 mL minuman ( 419 mmol/ kg )",,Pangan Olahan Keperluan Medis Khusus,"Nutrisi untuk mendukung pertumbuhan anak dengan faltering growth, anak dengan masalah makan, anak dengan berat badan kurang dan anak dengan grafik pertumbuhan di bawah normal. Untuk anak usia 1-10 tahun.",Kaleng @ 400 g,"Pati jagung terhidrolisa, Minyak Nabati ( Minayak bunga matahari tinggi oleat, minyak kedelai, minyak kanola, minyak MCTI, sukrosa, konsetrat protesin susu, isolat protein kedelai, Frukto- Oligosakarida (FOS) , 17 mineral ( Kalium klorida, kalsium fosfat dibasik, kalium sitrat , magnesium fosfat dibasik, natrium klorida, besi sulfat, kalium iodida , krimium klorida , natrium selenit , natrium molibdat), Pengemulsi lesitin kedelai , perisa sintetik, 13 vitamin ( Asam askorbat , dl- Alfa tokoferil asetat, d- kalsium pantotenat , niasinamida, piridoksin HCL, Thiamin HCL, riboflavin , vitamin A palmitat , asam folat , folokuinon , biotin , vitamin D3 , sionokobalamin, kolin klorida, antioksidan dan askorbit palmitat, taurin, M-Inositol , L- Karnitin tartat , Lactobacilis acidophilus, Antioksidan campuran tokoferol.",,Abbott,BPOM: ML562409057512,"Produk ini merupakan pangan olahan keperluan medis khusus sebagai dukungan nutrisi pada annak berisiko gizi kurang usia 1-10 tahun. Penggunaan produk ini harus dengan rekomendasi dokter. Jangan memanaskan formula dalam formula dalam microwave. Dapat menyebabkan luka bakar serius. Penyimpanan : Simpan di tempat sejuk dan kering , serta terhindar dari sinar matahari langsung."
Panadol Anak-Anak 120 mg 10 Tablet Kunyah,Rp0 - Rp17.000,Dikonsumsi sebelum atau sesudah makan. Dapat langsung dikunyah atau dicampur dengan air/ sari buah.,"PANADOL ANAK CHEWABLE merupakan obat dengan kandungan Paracetamol. Paracetamol bekerja sebagai antipiretik pada pusat pengaturan suhu di otak dan analgetika dengan meningkatkan ambang rasa sakit. Obat ini digunakan untuk meredakan rasa sakit seperti sakit kepala, sakit gigi dan menurunkan demam yang menyertai flu dan demam sesudah imunisasi atau vaksinasi.",Anak 2-5 tahun : 3-4 x sehari 1-2 tablet. Anak 6-12 tahun : 3-4 x sehari 2-4 tablet Maksimum interval penggunaan dosis adalah 4 jam dan tidak melebihi 4 kali dalam 24 jam. Jangan melebihi dosis yang dianjurkan atau sesuai anjuran dokter.,"Pemakaian obat umumnya memiliki efek samping tertentu dan sesuai dengan masing-masing individu. Jika terjadi efek samping yang berlebih dan berbahaya, harap konsultasikan kepada tenaga medis. Penggunaan jangka panjang dan dosis besar dapat menyebabkan kerusakan hati. Efek samping lain yaitu reaksi hipersensitifitas seperti kemerahan atau gatal pada kulit, kulit terkelupas, kadang-kadang gangguan pernafasan atau bengkak pada bibir, lidah, tenggorokan, sariawan, memar-memar, pendarahan. Namun, reaksi efek samping jarang terjadi. Hentikan penggunaan obat dan segera hubungi dokter jika mengalami efek samping.",Obat Bebas (Hijau),"Obat ini dapat digunakan untuk meredakan rasa sakit seperti sakit kepala, sakit gigi dan menurunkan demam yang menyertai flu dan demam sesudah imunisasi atau vaksinasi.","Dus, 10 Blister @ 10 Tablet Kunyah",Paracetamol 120 mg,Penderita yang hipersensitif terhadap paracetamol dan bahan lain dalam obat ini. Penderita dengan gangguan fungsi hati.,Sterling,BPOM: DBL0124501963B1,"Hati-hati penggunaan obat ini pada penderita penyakit ginjal. Bila setelah 2 hari demam tidak menurun atau setelah 5 hari nyeri tidak menghilang, segera hubungi Unit Pelayanan Kesehatan. Penggunaan obat ini pada penderita yang mengkonsumsi alkohol, dapat meningkatkan risiko kerusakan fungsi hati. Kategori kehamilan : Kategori B: Mungkin dapat digunakan oleh wanita hamil. Penelitian pada hewan uji tidak memperlihatkan ada nya risiko terhadap janin, namun belum ada bukti penelitian langsung terhadap wanita hamil."
Fatigon Spirit 6 Kaplet,Rp9.800 - Rp12.700,,"FATIGON SPIRIT merupakan multivitamin yang mengandung Vitamin B Kompleks, BCAA, L Carnitine, dan Nano Ginseng Extract untuk memelihara stamina, tenaga, dan kesegaran tubuh.",2 - 3 kali sehari satu kaplet (maksimal 3 kaplet per hari).,,Vitamin & Suplemen,suplemen yang Membantu proses metabolisme tubuh Untuk menghasilkan energi. suplemen Untuk Membantu memelihara stamina tubuh. suplemen Untuk Membantu menambah kesegaran tubuh dalam melakukan aktivitas sehari-@hari. suplemen Untuk Membantu memelihara kesehatan saat bekerja keras maupun berolahraga,"Dus, 10 strip @ 6 kaplet salut selaput","L-Carniting 100 mg, BCAA 40 mg, Nano Gingseng Extract 10 mg, Vitamin B1 10 mg, Vitamin B6 5 mg, Vitamin B12 5 mcg, Guaranine 50 mg.","Hipertensi, anak-anak, wanita hamil dan menyusui",Saka Farma,BPOM: D201556741,"Tidak untuk dikonsumsi anak-anak, wanita hamil dan menyusui serta penderita hipertensi, penggunaan jangka lama dapat mengakibatkan hipertensi."
Ultraproct-N Suppositoria,Rp21.600 - Rp26.100,Dimasukkan melalui anus/dubur,ULTRAPROCT-N SUPPOSITORIA merupakan sediaan anorektal yang mengandung Fluocortolone pivalet dan Lidocain HCl. Fluocortolone Pivalet merupakan senyawa obat dari golongan glukokortikoid yang memiliki kemampuan anti-inflamasi. Lidocain HCl merupakan obat anestesi lokal yang bekerja dengan cara menstabilkan membran saraf dan menghambat refluks ionik yang diperlukan dalam konduksi impuls sehingga rangsangan nyeri dapat diputus. Obat ini digunakan untuk mengobati wasir atau ambeien dengan cara memasukkan obat tersebut kedalam anus. Dalam penggunaan obat ini harus SESUAI DENGAN PETUNJUK DOKTER. Pembelian obat ini memerlukan edukasi terkait penggunaan atau pengonsumsian obat yang tepat dan aman yang akan dikenakan biaya.,"PENGGUNAAN OBAT INI HARUS SESUAI DENGAN PETUNJUK DOKTER. 1 suppo 2 kali/hari. Pada keluhan berat, masukkan 3 suppo pada 3 hari pertama, kemudian kurangi dosis sampai dengan 1 suppo/hari atau 2 hari 1 kali. Lama terapi maksimal 4 minggu.","Reaksi alergi(jarang), rasa panas terbakar, iritasi kulit.",Obat Keras (Merah),"INFORMASI OBAT INI HANYA UNTUK KALANGAN MEDIS. Hemoroid, fisura anal superfisial, proktitis, ekstrim anal, pengobatan pra dan pasca operasi","Dus, 1 Strip @ 6 Suppositoria","Fluocortolone pivalate 1 mg, Lidocaine HCl 40 mg","Hipersensitivitas. Infeksi topikal di daerah yang terkena. Gejala gangguan berikut di daerah yang terkena: Lesi kulit spesifik (sifilis, TBC), cacar air, reaksi vaksinasi, herpes genitalis.",Bayer Indonesia,BPOM: DKI1271601853A1,HARUS DENGAN RESEP DOKTER. Hamil & laktasi. Sebaiknya tidak digunakan selama trimester pertama kehamilan. Tidak dianjurkan untuk digunakan pada anak <18 thn.
Prenagen Mommy Moka 200 g,Rp23.800 - Rp67.100,"Larutkan 3 sendok makan Prenagen Mommy (45 g) ke dalam 180 ml air matang yang hangat (kurang lebih 40 derajat celsius), aduk sampai larut dan siap untuk diminum. Minum 2 gelas Prenagen Mommy setiap hari selama masa kehamilan","Prenagen Mommy merupakan nutrisi lengkap gizi selama 1000 HPK (hari pertama kehidupan) dengan Formula PRENAPro untuk menjaga stamina ibu lebih fit selama menjalani kehamilan sehingga janin lahir sempurna dan cukup umur yaitu 40 minggu dengan beratnya sesuai standar 2,5-4kg.",Sesuai kebutuhan,-,Pangan Olahan Diet Khusus,Susu untuk ibu hamil,Dos 200 G,,-,Sanghiang Perkasa,BPOM: MD 862310454281,"Habiskan isinya dalam waktu kurang dari 1 bulan. JANGAN dikonsumsi bila ada perubahan yang mencolok pada bau, rasa, atau warna."
